,loss,acc,auc_6,auc_7,precision_3,recall_3,val_loss,val_acc,val_auc_6,val_auc_7,val_precision_3,val_recall_3,lr
0,0.26962709426879883,0.9270467758178711,0.9383153915405273,0.9663050174713135,0.9414743781089783,0.9640799164772034,0.22552348673343658,0.9256308078765869,0.9456491470336914,0.9883975386619568,0.9699841737747192,0.9431643486022949,0.0010000000474974513
1,0.15158016979694366,0.9502924084663391,0.9696641564369202,0.9847539663314819,0.9556179642677307,0.9802151322364807,0.1815069615840912,0.9375830292701721,0.9543838500976562,0.989048182964325,0.9428152441978455,0.9877111911773682,0.0010000000474974513
2,0.11599105596542358,0.9584795236587524,0.9833048582077026,0.9927517175674438,0.9610341191291809,0.985401451587677,0.208754763007164,0.9256308078765869,0.9623279571533203,0.9906967878341675,0.9775280952453613,0.9354838728904724,0.0010000000474974513
3,0.11143703013658524,0.9609649181365967,0.9837510585784912,0.9926592707633972,0.9658554792404175,0.9834805727005005,0.14097151160240173,0.9455511569976807,0.9653624892234802,0.9915028810501099,0.9472140669822693,0.9923195242881775,0.0010000000474974513
4,0.0935928225517273,0.9703216552734375,0.9874956011772156,0.9941439628601074,0.9711810350418091,0.990395724773407,0.13944509625434875,0.950863242149353,0.9651291370391846,0.9911454319953918,0.9694189429283142,0.9738863110542297,0.0010000000474974513
5,0.09128393977880478,0.9682748317718506,0.9892119765281677,0.9954352378845215,0.9711048007011414,0.9877064824104309,0.1650911569595337,0.9482071995735168,0.9654226899147034,0.9915599822998047,0.9473684430122375,0.9953917264938354,0.0010000000474974513
6,0.08958052098751068,0.9723684191703796,0.988120436668396,0.9943159818649292,0.9744656682014465,0.9896273612976074,0.21234130859375,0.9455511569976807,0.9559274911880493,0.9873718619346619,0.9433139562606812,0.996927797794342,0.0010000000474974513
7,0.07483922690153122,0.9751461744308472,0.9909051060676575,0.9954692721366882,0.9779802560806274,0.9896273612976074,0.19574828445911407,0.9442231059074402,0.9545646905899048,0.9868992567062378,0.9445255398750305,0.9938555955886841,0.0010000000474974513
8,0.05382873862981796,0.9839181303977966,0.9948545098304749,0.9976128339767456,0.9838587045669556,0.9951978325843811,0.18498143553733826,0.9495351910591125,0.9567331671714783,0.9886831641197205,0.9857369065284729,0.9554531574249268,0.0005000000237487257
9,0.05365502089262009,0.9840643405914307,0.9943678975105286,0.9972202777862549,0.9855210781097412,0.9936611652374268,0.14749792218208313,0.9588313698768616,0.9550917148590088,0.9869946241378784,0.9682779312133789,0.9846389889717102,0.0005000000237487257
10,0.05363166332244873,0.9820175170898438,0.9957236051559448,0.9982038736343384,0.9828994870185852,0.9936611652374268,0.16748292744159698,0.9521912336349487,0.9592708349227905,0.9890316724777222,0.9842519760131836,0.9600614309310913,0.0005000000237487257
11,0.04765665903687477,0.9862573146820068,0.9958063364028931,0.9979868531227112,0.9870426654815674,0.9950057864189148,0.1431669294834137,0.9588313698768616,0.9526068568229675,0.9856687784194946,0.9769230484962463,0.9754224419593811,0.0005000000237487257
12,0.04828675091266632,0.9853801131248474,0.9956324100494385,0.9979371428489685,0.9857305884361267,0.9951978325843811,0.15321671962738037,0.9575033187866211,0.9562739133834839,0.9873425960540771,0.9682299494743347,0.9831029176712036,0.0005000000237487257
13,0.03604738414287567,0.9903509020805359,0.9971269965171814,0.99857497215271,0.9900839328765869,0.9973108172416687,0.15551148355007172,0.9588313698768616,0.9556413888931274,0.9868643283843994,0.9769230484962463,0.9754224419593811,0.0002500000118743628
14,0.03607390448451042,0.9893274903297424,0.9968627691268921,0.9983799457550049,0.9896966218948364,0.9963503479957581,0.1591358631849289,0.9575033187866211,0.9536760449409485,0.986173152923584,0.9798449873924255,0.9708141088485718,0.0002500000118743628
15,0.034585099667310715,0.9900584816932678,0.9977090358734131,0.9990078806877136,0.990454375743866,0.9965424537658691,0.16429176926612854,0.9561753273010254,0.9591277241706848,0.9882504343986511,0.9653614163398743,0.9846389889717102,0.0002500000118743628
16,0.027972374111413956,0.9918128848075867,0.9984627962112427,0.9992662072181702,0.9915998578071594,0.9976949691772461,0.15485385060310364,0.9588313698768616,0.9564019441604614,0.9871079921722412,0.9740061163902283,0.9784946441650391,0.0001250000059371814
17,0.028052840381860733,0.9910818934440613,0.9985681772232056,0.9994154572486877,0.9915918111801147,0.9967345595359802,0.16996434330940247,0.9588313698768616,0.9543086290359497,0.9861965179443359,0.9813664555549622,0.9708141088485718,0.0001250000059371814
18,0.027505289763212204,0.9919590353965759,0.9983649253845215,0.999233067035675,0.9925416111946106,0.9969266057014465,0.15737371146678925,0.9628154039382935,0.957313060760498,0.9874500632286072,0.9770290851593018,0.9800307154655457,0.0001250000059371814
19,0.02545514889061451,0.9926900863647461,0.9986513257026672,0.9993366003036499,0.9925487041473389,0.9978870749473572,0.17701834440231323,0.9561753273010254,0.9528930187225342,0.9854505062103271,0.9828125238418579,0.9662058353424072,0.0001250000059371814
